otu_id	assignment
denovo10307	Veillonella_denticariosi
denovo10308	Prevotella_nanceiensis
denovo10314	Porphyromonas_gingivalis
denovo10317	Prevotella_oris
denovo10318	Fusobacterium_canifelinum
denovo10319	Prevotella_denticola
denovo1032	Corynebacterium_simulans
denovo10322	Actinomyces_urogenitalis
denovo10327	Bacteroides_dorei
denovo10329	Capnocytophaga_ochracea
denovo10330	Staphylococcus_hominis_subsp._hominis
denovo10334	Streptococcus_cristatus
denovo10335	Dialister_pneumosintes
denovo10336	Prevotella_veroralis
denovo10338	Prevotella_oulorum
denovo10339	Prevotella_melaninogenica
denovo1034	Actinotalea_ferrariae
denovo10341	Staphylococcus_aureus_subsp._anaerobius
denovo10343	Capnocytophaga_leadbetteri
denovo10344	Leptotrichia_trevisanii
denovo10345	Atopobium_rimae
denovo10351	Prevotella_melaninogenica
denovo10352	Actinomyces_graevenitzii
denovo10353	Abiotrophia_defectiva
denovo10358	Haemophilus_parasuis
denovo1036	Treponema_socranskii_subsp._buccale
denovo10364	Prevotella_veroralis
denovo10365	Streptococcus_gordonii
denovo10368	Gemella_haemolysans
denovo10370	Prevotella_jejuni
denovo10373	Fusobacterium_nucleatum_subsp._polymorphum
denovo10374	Prevotella_histicola
denovo10375	Prevotella_loescheii
denovo10377	Neisseria_flavescens
denovo10378	Haemophilus_influenzae
denovo10379	Streptococcus_anginosus
denovo1038	Prevotella_scopos
denovo10380	Lactobacillus_rhamnosus
denovo10381	Veillonella_atypica
denovo10385	Rothia_dentocariosa
denovo10386	Fretibacterium_fastidiosum
denovo10387	Alloprevotella_rava
denovo10388	Granulicatella_elegans
denovo1039	Streptococcus_oralis
denovo10391	Selenomonas_artemidis
denovo10394	Patulibacter_ginsengiterrae
denovo10396	Neisseria_sicca
denovo10397	Microbacterium_awajiense
denovo10399	Prevotella_maculosa
denovo104	Staphylococcus_epidermidis
denovo1040	Veillonella_denticariosi
denovo10404	Porphyromonas_catoniae
denovo10405	Gemella_haemolysans
denovo10407	Veillonella_parvula
denovo10408	Porphyromonas_bennonis
denovo10410	Gemella_morbillorum
denovo10413	Oscillibacter_valericigenes
denovo10415	Lactobacillus_pontis
denovo10416	Granulicatella_adiacens
denovo1042	Porphyromonas_gulae
denovo10421	Prevotella_enoeca
denovo10423	Neisseria_flavescens
denovo10427	Prevotella_oris
denovo10429	Alloprevotella_tannerae
denovo10430	Veillonella_tobetsuensis
denovo10439	Dialister_pneumosintes
denovo1044	Prevotella_nanceiensis
denovo10440	Treponema_socranskii_subsp._socranskii
denovo10442	Prevotella_baroniae
denovo10443	Stomatobaculum_longum
denovo10446	Asteroleplasma_anaerobium
denovo10447	Actinomyces_meyeri
denovo10448	Gemella_morbillorum
denovo10449	Streptococcus_mitis
denovo1045	Leptotrichia_wadei
denovo10451	Parvimonas_micra
denovo10454	Stomatobaculum_longum
denovo10455	Rothia_mucilaginosa
denovo10456	Shuttleworthia_satelles
denovo10457	Prochlorococcus_marinus_subsp._pastoris
denovo1046	Streptococcus_australis
denovo10460	Ureaplasma_parvum
denovo10464	Veillonella_denticariosi
denovo10466	Capnocytophaga_gingivalis
denovo10468	Bacteroides_acidifaciens
denovo10469	Neisseria_flavescens
denovo10473	Leptotrichia_goodfellowii
denovo10475	Parvimonas_micra
denovo10479	Streptococcus_parasanguinis
denovo1048	Pseudocitrobacter_faecalis
denovo10480	Veillonella_criceti
denovo10482	Veillonella_denticariosi
denovo10484	Prevotella_melaninogenica
denovo10485	Alloprevotella_tannerae
denovo10486	Prevotella_denticola
denovo10488	Dialister_propionicifaciens
denovo10490	Prevotella_pallens
denovo10492	Phocaeicola_abscessus
denovo10498	Neisseria_sicca
denovo105	Streptococcus_constellatus_subsp._constellatus
denovo10502	Neisseria_subflava
denovo10506	Streptococcus_constellatus_subsp._constellatus
denovo10508	Veillonella_tobetsuensis
denovo1051	Streptococcus_sanguinis
denovo10510	Ureibacillus_thermosphaericus
denovo10511	Kofleria_flava
denovo10512	Prevotella_jejuni
denovo10518	Herbaspirillum_chlorophenolicum
denovo1052	Prevotella_corporis
denovo10520	Enterococcus_faecalis
denovo10522	Selenomonas_noxia
denovo10524	Staphylococcus_aureus_subsp._anaerobius
denovo10525	Atopobium_parvulum
denovo10527	Fusobacterium_canifelinum
denovo10531	Streptococcus_tigurinus
denovo10533	Prevotella_jejuni
denovo10536	Leptotrichia_shahii
denovo10537	Megasphaera_micronuciformis
denovo10538	Actinomyces_meyeri
denovo10539	Prevotella_denticola
denovo10540	Veillonella_criceti
denovo10547	Pseudoramibacter_alactolyticus
denovo10548	Oribacterium_sinus
denovo10554	Staphylococcus_aureus_subsp._anaerobius
denovo10558	Fusobacterium_nucleatum_subsp._polymorphum
denovo10559	Porphyromonas_gingivalis
denovo1056	Rothia_mucilaginosa
denovo10567	Prevotella_pallens
denovo10569	Legionella_fairfieldensis
denovo1057	Atopobium_rimae
denovo10572	Prevotella_buccae
denovo10574	Prevotella_histicola
denovo10576	Staphylococcus_aureus_subsp._anaerobius
denovo10578	Veillonella_tobetsuensis
denovo10579	Treponema_lecithinolyticum
denovo1058	Campylobacter_showae
denovo10580	Capnocytophaga_leadbetteri
denovo10585	Granulicatella_adiacens
denovo10587	Prevotella_melaninogenica
denovo1059	Gemella_morbillorum
denovo10591	Parvimonas_micra
denovo10592	Streptococcus_parasanguinis
denovo10593	Novosphingobium_lentum
denovo10595	Staphylococcus_aureus_subsp._anaerobius
denovo10597	Janibacter_limosus
denovo10598	Porphyromonas_catoniae
denovo10600	Prevotella_denticola
denovo10601	Paraprevotella_xylaniphila
denovo10602	Corynebacterium_xerosis
denovo10603	Fusobacterium_nucleatum_subsp._vincentii
denovo10604	Janibacter_cremeus
denovo10605	Prevotella_jejuni
denovo10606	Fusobacterium_nucleatum_subsp._vincentii
denovo10610	Nisaea_denitrificans
denovo10611	Dialister_succinatiphilus
denovo10612	Granulicatella_adiacens
denovo10613	Staphylococcus_aureus_subsp._anaerobius
denovo10617	Prevotella_oris
denovo10618	Citrobacter_koseri
denovo10621	Prevotella_melaninogenica
denovo10624	Dialister_propionicifaciens
denovo10627	Prevotella_saccharolytica
denovo10628	Haemophilus_parainfluenzae
denovo10630	Veillonella_parvula
denovo10632	Fusobacterium_periodonticum
denovo10634	Abiotrophia_defectiva
denovo10636	Porphyromonas_endodontalis
denovo10637	Porphyromonas_catoniae
denovo10638	Coprococcus_eutactus
denovo10639	Sneathia_sanguinegens
denovo1064	Capnocytophaga_gingivalis
denovo10640	Selenomonas_artemidis
denovo10641	Streptococcus_parasanguinis
denovo10643	Thermomonas_koreensis
denovo10644	Megasphaera_micronuciformis
denovo10647	Streptococcus_pseudopneumoniae
denovo10648	Pontibacter_indicus
denovo10649	Corynebacterium_simulans
denovo10650	Corynebacterium_xerosis
denovo10652	Porphyromonas_endodontalis
denovo10654	Prevotella_jejuni
denovo10659	Enterococcus_faecalis
denovo10660	Corynebacterium_simulans
denovo10662	Acinetobacter_junii
denovo10664	Streptococcus_parasanguinis
denovo10665	Rothia_mucilaginosa
denovo10666	Anaerococcus_octavius
denovo10667	Granulicatella_adiacens
denovo10669	Streptococcus_infantis
denovo10670	Bacteroides_coprophilus
denovo10673	Fusobacterium_nucleatum_subsp._polymorphum
denovo10674	Porphyromonas_catoniae
denovo10677	Prevotella_melaninogenica
denovo10678	Porphyromonas_catoniae
denovo1068	Christensenella_minuta
denovo10680	Alloprevotella_tannerae
denovo10681	Porphyromonas_gingivalis
denovo10682	Alloprevotella_rava
denovo10685	Staphylococcus_aureus_subsp._anaerobius
denovo10686	Eubacterium_brachy
denovo10690	Capnocytophaga_leadbetteri
denovo10691	Prevotella_denticola
denovo10693	Porphyromonas_catoniae
denovo10694	Enterococcus_faecalis
denovo10695	Ureaplasma_parvum
denovo10698	Leptotrichia_goodfellowii
denovo107	Streptococcus_parasanguinis
denovo1070	Legionella_adelaidensis
denovo10700	Corynebacterium_doosanense
denovo10701	Streptococcus_salivarius_subsp._thermophilus
denovo10703	Actinomyces_weissii
denovo10705	Fibrobacter_succinogenes_subsp._succinogenes
denovo10708	Prevotella_melaninogenica
denovo10709	Selenomonas_sputigena
denovo1071	Neisseria_flavescens
denovo10711	Planococcus_halocryophilus
denovo10713	Gemella_sanguinis
denovo10714	Prevotella_melaninogenica
denovo10718	Campylobacter_fetus_subsp._venerealis
denovo10719	Peptostreptococcus_anaerobius
denovo1072	Fusobacterium_nucleatum_subsp._polymorphum
denovo10722	Ureaplasma_parvum
denovo10723	Parvimonas_micra
denovo10725	Fusobacterium_nucleatum_subsp._polymorphum
denovo10729	Prevotella_pallens
denovo1073	Streptococcus_peroris
denovo10731	Streptococcus_gordonii
